quantity;priceMin;priceMax;priceMod;state
16202;593;871;732;AP
13200;373;550;462;AP
2159;366;461;409;AP
62864;685;1073;876;AP
97850;440;584;523;AP
31550;1281;1431;1356;AP
91864;541;1457;1210;AP
19000;600;800;700;AP
182984;523;1330;1005;AP
150521;505;1889;1382;AP
170379;379;1789;1379;AP
21960;556;799;678;AP
18840;354;462;405;AP
48759;258;377;320;AP
65597;755;1130;941;AP
79150;321;447;397;AP
58400;1073;1325;1184;AP
73726;905;1329;1107;AP
35060;933;1544;1375;AP
24150;600;800;700;AP
2550;1950;2150;2050;AP
169200;520;925;755;AP
138194;755;2125;1638;AP
143236;265;1429;1088;AP
31285;423;527;473;AP
8190;300;403;337;AP
86830;220;325;273;AP
59939;637;835;737;AP
74450;324;441;389;AP
54810;800;995;905;AP
66140;600;883;750;AP
26600;286;686;543;AP
8400;500;700;600;AP
10470;1317;1517;1425;AP
215976;570;946;776;AP
111286;545;1713;1360;AP
16301;325;430;373;AP
64460;183;292;238;AP
64327;504;638;573;AP
77800;275;418;364;AP
51863;610;845;740;AP
67929;403;640;515;AP
50730;329;629;503;AP
44910;995;1405;1240;AP
185113;619;1004;818;AP
65988;413;1538;1281;AP
40673;344;455;396;AP
32500;300;413;357;AP
90956;184;312;249;AP
69474;509;664;583;AP
71490;256;409;357;AP
54371;491;729;633;AP
23676;467;689;572;AP
51360;289;594;494;AP
51530;1082;1486;1286;AP
161580;783;1233;1012;AP
57316;528;1838;1456;AP
13877;413;535;468;AP
29760;366;492;430;AP
83496;288;422;361;AP
57179;771;973;884;AP
74390;244;374;333;AP
46434;564;914;759;AP
2500;800;1000;900;AP
38990;300;688;567;AP
17436;982;1573;1336;AP
81886;1169;1966;1572;AP
66561;792;2272;1714;AP
61420;417;529;473;AP
3800;500;600;550;AP
83600;330;453;395;AP
63976;787;1040;927;AP
28160;568;658;617;AP
65923;572;853;721;AP
13100;838;975;913;AP
26450;656;938;831;AP
103093;1409;2570;2197;AP
97832;1533;2539;2078;AP
94877;882;2736;2134;AP
25300;386;514;450;AP
17300;580;722;649;AP
95556;352;487;426;AP
70708;855;1214;1061;AP
11530;743;834;794;AP
67082;668;896;786;AP
43890;872;1153;1016;AP
14245;925;1513;1350;AP
144843;2814;4276;3423;AP
159500;1256;2256;1742;AP
170077;2146;5021;4273;AP
52800;440;590;515;AP
16500;605;781;704;ASM
8188;506;713;623;ASM
